counter;datetime;PM1;PM2_5;PM4;PM10;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure
9291;2024-11-01T00:26:36;3;3;3;4;24;24;25;25;0.62;20.62;82;88293
9292;2024-11-01T00:27:38;3;3;4;4;24;25;25;25;0.63;20.49;81;88302
9293;2024-11-01T00:28:39;3;4;4;4;27;28;28;28;0.64;20.26;83;88303
9294;2024-11-01T00:29:41;3;3;3;3;23;23;23;23;0.62;20.02;83;88303
9295;2024-11-01T00:30:42;2;2;2;3;17;18;18;18;0.63;20.02;82;88308
9296;2024-11-01T00:31:44;2;2;3;3;18;18;18;18;0.64;20.01;83;88304
9297;2024-11-01T00:32:45;2;3;3;3;20;20;20;20;0.64;20.28;82;88317
9298;2024-11-01T00:33:47;2;2;3;3;18;18;18;18;0.65;20.21;82;88308
9299;2024-11-01T00:34:48;2;2;3;3;18;18;18;18;0.64;20.31;82;88317
9300;2024-11-01T00:35:49;2;2;2;3;17;18;18;18;0.63;20.49;82;88306
9301;2024-11-01T00:36:51;2;2;3;3;18;19;19;19;0.65;20.27;81;88314
9302;2024-11-01T00:37:52;2;3;3;3;19;19;19;19;0.65;20.15;83;88308
9303;2024-11-01T00:38:54;2;2;2;2;15;15;15;15;0.63;20.0;81;88310
9304;2024-11-01T00:39:55;2;2;2;2;13;13;13;13;0.63;20.13;83;88313
9305;2024-11-01T00:40:57;2;2;2;2;13;14;14;14;0.63;20.05;83;88312
9306;2024-11-01T00:41:58;2;2;2;2;14;14;14;14;0.63;20.17;82;88315
9307;2024-11-01T00:43:00;2;2;2;2;17;17;17;17;0.65;20.14;84;88315
9308;2024-11-01T00:44:01;2;2;3;3;18;18;18;18;0.66;19.92;84;88302
9309;2024-11-01T00:45:03;2;2;2;2;16;16;16;16;0.66;19.97;84;88301
9310;2024-11-01T00:46:04;2;2;2;3;18;18;18;18;0.63;19.9;84;88302
9311;2024-11-01T00:47:06;2;2;2;2;18;18;18;18;0.62;20.15;83;88307
9312;2024-11-01T00:48:07;2;3;3;3;20;20;20;20;0.6;20.32;83;88307
9313;2024-11-01T00:49:09;3;3;3;4;25;25;25;25;0.63;20.17;85;88292
9314;2024-11-01T00:50:10;4;5;5;6;33;34;34;34;0.67;20.45;83;88299
9315;2024-11-01T00:51:12;4;5;5;5;30;31;31;31;0.67;20.26;83;88298
9316;2024-11-01T00:52:13;3;4;4;5;26;27;27;27;0.67;20.42;83;88295
9317;2024-11-01T00:53:14;4;5;5;5;30;31;31;31;0.67;20.44;83;88287
9318;2024-11-01T00:54:16;3;4;4;4;24;25;25;25;0.66;20.45;83;88288
9319;2024-11-01T00:55:17;3;4;4;4;25;25;25;25;0.63;20.33;83;88281
9320;2024-11-01T00:56:19;3;4;4;4;26;26;27;27;0.61;20.45;83;88285
9321;2024-11-01T00:57:20;3;3;4;4;26;26;26;26;0.61;20.56;83;88287
9322;2024-11-01T00:58:22;3;4;4;4;27;27;27;27;0.6;20.28;84;88291
9323;2024-11-01T00:59:23;2;3;3;3;21;21;21;21;0.6;20.49;83;88287
9324;2024-11-01T01:00:25;3;3;3;3;23;23;23;23;0.59;20.64;82;88293
9325;2024-11-01T01:01:26;3;3;3;3;27;27;27;27;0.61;20.75;82;88293
9326;2024-11-01T01:02:28;3;4;4;4;28;28;28;28;0.6;20.76;82;88288
9327;2024-11-01T01:03:29;3;4;4;4;29;29;29;29;0.61;20.67;82;88286
9328;2024-11-01T01:04:31;3;3;3;3;25;25;25;25;0.61;20.62;83;88288
9329;2024-11-01T01:05:32;3;3;3;3;24;24;24;24;0.6;20.66;82;88280
9330;2024-11-01T01:06:34;3;3;4;4;26;27;27;27;0.58;20.63;83;88289
9331;2024-11-01T01:07:35;3;3;3;3;24;24;24;24;0.57;20.69;83;88281
9332;2024-11-01T01:08:37;3;3;3;3;24;24;24;24;0.57;20.67;84;88276
9333;2024-11-01T01:09:38;3;3;3;3;26;26;26;26;0.58;20.64;83;88285
9334;2024-11-01T01:10:39;3;3;3;3;25;25;25;25;0.57;20.76;83;88288
9335;2024-11-01T01:11:41;3;3;3;3;24;24;24;24;0.57;20.65;83;88289
9336;2024-11-01T01:12:42;2;3;3;3;21;21;21;21;0.58;20.7;82;88290
9337;2024-11-01T01:13:44;3;3;3;3;22;22;22;22;0.58;20.81;83;88290
9338;2024-11-01T01:14:45;3;3;3;3;23;23;23;23;0.57;20.9;81;88281
9339;2024-11-01T01:15:47;2;2;2;2;20;20;20;20;0.58;20.72;83;88288
9340;2024-11-01T01:16:48;2;2;2;2;19;19;19;19;0.57;20.41;83;88282
9341;2024-11-01T01:17:50;2;2;2;2;16;16;16;16;0.58;20.43;84;88290
9342;2024-11-01T01:18:51;2;2;2;2;19;19;19;19;0.59;20.58;83;88282
9343;2024-11-01T01:19:53;2;2;2;2;19;19;19;19;0.58;20.68;84;88283
9344;2024-11-01T01:20:54;2;2;2;2;18;18;18;18;0.59;20.66;83;88280
9345;2024-11-01T01:21:56;2;2;2;2;18;18;18;18;0.59;20.65;83;88273
9346;2024-11-01T01:22:57;2;2;2;2;16;16;16;16;0.59;20.68;83;88270
9347;2024-11-01T01:23:59;2;2;2;2;15;15;15;15;0.6;20.38;81;88272
9348;2024-11-01T01:25:00;2;2;2;2;15;15;15;15;0.6;20.34;82;88273
9349;2024-11-01T01:26:01;2;2;2;2;15;15;15;15;0.59;20.15;80;88267
9350;2024-11-01T01:27:03;2;2;2;2;13;13;13;13;0.58;20.12;82;88271
9351;2024-11-01T01:28:04;2;2;2;2;16;16;16;16;0.57;20.2;83;88267
9352;2024-11-01T01:29:06;2;2;2;2;13;13;13;13;0.56;20.15;80;88267
9353;2024-11-01T01:30:07;1;1;1;1;12;12;12;12;0.57;20.13;80;88267
9354;2024-11-01T01:31:09;1;1;1;1;11;11;11;11;0.56;20.1;80;88276
9355;2024-11-01T01:32:10;1;1;1;1;11;11;11;11;0.56;20.1;79;88271
9356;2024-11-01T01:33:12;2;2;2;2;14;14;14;14;0.55;20.32;81;88266
9357;2024-11-01T01:34:13;1;1;1;1;12;12;12;12;0.56;20.21;80;88268
9358;2024-11-01T01:35:15;1;1;1;1;11;11;11;11;0.56;20.17;82;88268
9359;2024-11-01T01:36:16;1;1;1;1;10;10;10;10;0.54;20.1;79;88257
9360;2024-11-01T01:37:18;1;1;1;1;10;10;10;10;0.54;20.0;81;88267
9361;2024-11-01T01:38:19;1;1;1;1;9;9;9;9;0.53;19.9;78;88256
9362;2024-11-01T01:39:20;1;1;1;1;8;8;8;8;0.53;19.95;78;88257
9363;2024-11-01T01:40:22;1;1;1;1;12;12;12;12;0.53;19.89;78;88252
9364;2024-11-01T01:41:23;1;1;1;1;10;10;10;10;0.53;19.95;77;88253
9365;2024-11-01T01:42:25;1;1;1;1;10;10;10;10;0.53;19.83;79;88248
9366;2024-11-01T01:43:26;1;1;1;1;9;9;9;9;0.52;19.79;79;88252
9367;2024-11-01T01:44:28;1;1;1;1;10;10;10;10;0.51;19.7;81;88247
9368;2024-11-01T01:45:29;1;1;1;1;9;9;9;9;0.52;19.62;81;88252
9369;2024-11-01T01:46:31;1;1;1;1;10;10;10;10;0.52;19.69;77;88243
9370;2024-11-01T01:47:32;1;1;1;1;10;10;10;10;0.53;19.77;78;88246
9371;2024-11-01T01:48:34;1;1;1;1;11;11;11;11;0.53;19.74;76;88234
9372;2024-11-01T01:49:35;1;1;1;1;8;8;8;8;0.54;19.69;76;88242
9373;2024-11-01T01:50:37;1;1;1;1;7;7;7;7;0.53;19.77;77;88236
9374;2024-11-01T01:51:38;1;1;1;1;7;7;7;7;0.53;19.63;78;88237
9375;2024-11-01T01:52:40;1;1;1;1;7;7;7;7;0.53;19.62;79;88238
9376;2024-11-01T01:53:41;1;1;1;1;8;8;8;8;0.52;19.54;79;88240
9377;2024-11-01T01:54:43;1;1;1;1;6;6;6;6;0.52;19.42;78;88242
9378;2024-11-01T01:55:44;1;1;1;1;7;7;7;7;0.52;19.43;78;88240
9379;2024-11-01T01:56:45;1;1;1;1;6;6;6;6;0.52;19.46;79;88237
9380;2024-11-01T01:57:47;1;1;1;1;6;6;6;6;0.52;19.46;79;88234
9381;2024-11-01T01:58:48;1;1;1;1;6;6;6;6;0.54;19.4;77;88231
9382;2024-11-01T01:59:50;1;1;1;1;6;6;6;6;0.55;19.37;79;88238
9383;2024-11-01T02:00:51;1;1;1;1;6;6;6;6;0.56;19.5;78;88235
9384;2024-11-01T02:01:53;1;1;1;1;6;6;6;6;0.56;19.4;80;88231
9385;2024-11-01T02:02:54;0;1;1;1;4;4;4;4;0.56;19.45;80;88243
9386;2024-11-01T02:03:56;1;1;1;1;7;7;7;7;0.56;19.46;80;88234
9387;2024-11-01T02:04:57;1;1;1;1;5;5;5;5;0.56;19.38;80;88239
9388;2024-11-01T02:05:59;1;1;1;1;5;5;5;5;0.56;19.36;79;88237
9389;2024-11-01T02:07:00;1;1;1;1;6;6;6;6;0.57;19.39;80;88240
9390;2024-11-01T02:08:02;1;1;1;1;5;5;5;5;0.57;19.32;77;88234
9391;2024-11-01T02:09:03;1;1;1;1;7;7;7;7;0.57;19.25;80;88237
9392;2024-11-01T02:10:05;1;1;1;1;7;7;7;7;0.57;19.3;80;88242
9393;2024-11-01T02:11:06;1;1;1;1;6;6;6;6;0.58;19.34;78;88229
9394;2024-11-01T02:12:07;1;1;1;1;5;5;5;5;0.58;19.4;79;88236
9395;2024-11-01T02:13:09;1;1;1;1;8;8;8;8;0.57;19.31;80;88235
9396;2024-11-01T02:14:10;1;1;1;1;7;7;7;7;0.56;19.3;78;88234
9397;2024-11-01T02:15:12;1;1;1;1;7;7;7;7;0.57;19.25;78;88237
9398;2024-11-01T02:16:13;1;1;1;1;7;7;7;7;0.57;19.24;79;88223
9399;2024-11-01T02:17:15;1;1;1;1;6;6;6;6;0.58;19.23;79;88237
9400;2024-11-01T02:18:16;1;1;1;1;5;5;5;5;0.58;19.18;81;88237
9401;2024-11-01T02:19:18;1;1;1;1;8;8;8;8;0.58;19.3;80;88241
9402;2024-11-01T02:20:19;1;1;1;1;6;6;6;6;0.59;19.29;78;88237
9403;2024-11-01T02:21:21;1;1;1;1;6;6;6;6;0.59;19.41;79;88232
9404;2024-11-01T02:22:22;1;1;1;1;8;8;8;8;0.59;19.49;78;88233
9405;2024-11-01T02:23:24;1;1;1;1;8;8;8;8;0.58;19.58;78;88235
9406;2024-11-01T02:24:25;1;1;1;1;8;8;8;8;0.59;19.44;76;88228
9407;2024-11-01T02:25:27;1;1;1;1;6;6;6;6;0.59;19.24;75;88225
9408;2024-11-01T02:26:28;1;1;1;1;5;5;6;6;0.59;19.41;78;88219
9409;2024-11-01T02:27:29;1;1;1;1;7;7;7;7;0.57;19.09;78;88231
9410;2024-11-01T02:28:31;1;1;1;1;8;8;8;8;0.57;19.04;78;88229
9411;2024-11-01T02:29:32;1;1;1;1;7;7;7;7;0.56;19.0;79;88212
9412;2024-11-01T02:30:34;1;1;1;1;8;8;8;8;0.57;19.19;80;88215
9413;2024-11-01T02:31:35;1;1;1;1;9;9;9;9;0.57;19.1;78;88211
9414;2024-11-01T02:32:37;1;1;1;1;5;5;5;5;0.56;19.07;77;88211
9415;2024-11-01T02:33:38;1;1;1;1;6;6;6;6;0.56;19.09;79;88206
9416;2024-11-01T02:34:40;1;1;1;1;8;8;8;8;0.57;19.1;78;88210
9417;2024-11-01T02:35:41;1;1;1;1;5;5;5;5;0.57;19.17;79;88202
9418;2024-11-01T02:36:43;1;1;1;1;8;8;8;8;0.57;19.24;78;88198
9419;2024-11-01T02:37:44;1;1;1;1;6;6;6;6;0.57;19.17;77;88202
9420;2024-11-01T02:38:46;1;1;1;1;6;6;6;6;0.57;19.01;78;88187
9421;2024-11-01T02:39:47;1;1;1;1;5;5;5;5;0.57;19.1;76;88200
9422;2024-11-01T02:40:48;1;1;1;1;7;7;7;7;0.56;19.01;77;88192
9423;2024-11-01T02:41:50;1;1;1;1;6;6;6;6;0.55;19.11;78;88190
9424;2024-11-01T02:42:51;1;1;1;1;5;5;5;5;0.54;19.26;77;88193
9425;2024-11-01T02:43:53;1;1;1;1;7;7;7;7;0.55;19.41;77;88184
9426;2024-11-01T02:44:54;1;1;1;1;7;7;7;7;0.56;19.22;77;88190
9427;2024-11-01T02:45:56;1;1;1;1;7;7;7;7;0.56;19.21;78;88188
9428;2024-11-01T02:46:57;1;1;1;1;7;7;7;7;0.56;19.34;78;88189
9429;2024-11-01T02:47:59;1;1;1;1;6;6;6;6;0.57;19.45;78;88188
9430;2024-11-01T02:49:00;1;1;1;1;8;8;8;8;0.58;19.59;77;88188
9431;2024-11-01T02:50:02;1;1;1;1;7;7;7;7;0.57;19.68;76;88190
9432;2024-11-01T02:51:03;1;1;1;1;8;8;8;8;0.58;19.69;76;88189
9433;2024-11-01T02:52:05;1;1;1;1;6;6;6;6;0.58;19.73;77;88195
9434;2024-11-01T02:53:06;1;1;1;1;6;6;6;6;0.59;19.77;75;88193
9435;2024-11-01T02:54:08;1;1;1;1;7;7;7;7;0.6;19.75;76;88192
9436;2024-11-01T02:55:09;1;1;1;1;7;7;7;7;0.6;19.75;77;88198
9437;2024-11-01T02:56:10;1;1;1;1;7;7;7;7;0.59;19.66;77;88192
9438;2024-11-01T02:57:12;1;1;1;1;6;6;6;6;0.59;19.64;77;88193
9439;2024-11-01T02:58:13;1;1;1;1;6;6;6;6;0.6;19.62;76;88198
9440;2024-11-01T02:59:15;1;1;1;1;9;9;9;9;0.6;19.65;76;88197
9441;2024-11-01T03:00:16;1;1;1;1;8;8;8;8;0.61;19.39;77;88194
9442;2024-11-01T03:01:18;1;1;1;1;8;8;8;8;0.61;19.26;78;88190
9443;2024-11-01T03:02:19;1;1;1;1;9;9;9;9;0.61;19.01;78;88197
9444;2024-11-01T03:03:21;1;1;1;1;6;6;6;6;0.61;18.88;78;88196
9445;2024-11-01T03:04:22;1;1;1;1;6;6;6;6;0.61;18.67;78;88193
9446;2024-11-01T03:05:24;1;1;1;1;6;6;6;6;0.6;18.63;79;88185
9447;2024-11-01T03:06:25;1;1;1;1;6;6;6;6;0.61;18.63;79;88195
9448;2024-11-01T03:07:27;1;1;1;1;7;8;8;8;0.62;18.82;79;88193
9449;2024-11-01T03:08:28;1;1;1;1;7;7;7;7;0.63;18.8;77;88190
9450;2024-11-01T03:09:30;1;1;1;1;6;7;7;7;0.63;18.69;78;88182
9451;2024-11-01T03:10:31;1;1;1;1;9;9;9;9;0.63;18.85;78;88189
9452;2024-11-01T03:11:33;1;1;1;1;8;8;8;8;0.62;18.97;78;88187
9453;2024-11-01T03:12:34;1;1;1;1;9;9;9;9;0.61;19.08;79;88186
9454;2024-11-01T03:13:35;1;1;1;1;7;7;7;7;0.62;18.89;77;88195
9455;2024-11-01T03:14:37;1;1;1;1;5;5;5;5;0.62;19.05;78;88192
9456;2024-11-01T03:15:38;1;1;1;1;10;10;10;10;0.62;19.12;79;88192
9457;2024-11-01T03:16:40;1;1;1;1;9;9;9;9;0.61;19.2;78;88192
9458;2024-11-01T03:17:41;1;1;1;1;8;8;8;8;0.62;19.32;78;88196
9459;2024-11-01T03:18:43;1;1;1;1;8;8;8;8;0.62;19.28;77;88203
9460;2024-11-01T03:19:44;1;1;1;1;9;9;10;10;0.61;19.42;77;88199
9461;2024-11-01T03:20:46;1;1;1;1;8;8;8;8;0.62;19.45;77;88203
9462;2024-11-01T03:21:47;1;1;1;1;9;9;9;9;0.62;19.52;77;88197
9463;2024-11-01T03:22:49;1;1;1;1;8;8;8;8;0.6;19.53;77;88207
9464;2024-11-01T03:23:50;1;1;1;1;10;10;11;11;0.59;19.44;77;88210
9465;2024-11-01T03:24:52;1;1;1;1;10;10;10;10;0.6;19.5;76;88202
9466;2024-11-01T03:25:53;1;1;1;1;8;8;8;8;0.6;19.33;78;88201
9467;2024-11-01T03:26:54;1;1;1;1;10;10;10;10;0.61;19.3;78;88204
9468;2024-11-01T03:27:56;1;1;1;1;9;9;9;9;0.6;19.06;79;88205
9469;2024-11-01T03:28:57;1;1;1;2;10;11;11;11;0.58;19.12;79;88205
9470;2024-11-01T03:29:59;2;2;2;2;13;13;13;13;0.59;19.27;79;88213
9471;2024-11-01T03:31:00;1;1;1;1;9;10;10;10;0.6;19.32;79;88210
9472;2024-11-01T03:32:02;2;2;2;2;15;15;15;15;0.6;19.03;79;88211
9473;2024-11-01T03:33:03;2;2;3;3;19;19;19;19;0.58;18.63;81;88215
9474;2024-11-01T03:34:05;2;2;2;2;14;14;14;14;0.57;18.88;80;88207
9475;2024-11-01T03:35:06;2;2;2;2;15;15;15;15;0.57;19.05;81;88211
9476;2024-11-01T03:36:08;2;2;2;2;15;15;15;15;0.55;19.09;80;88206
9477;2024-11-01T03:37:09;1;1;1;1;11;11;11;11;0.54;19.25;78;88204
9478;2024-11-01T03:38:11;1;1;1;1;12;12;12;12;0.54;19.27;79;88208
9479;2024-11-01T03:39:12;2;2;2;2;14;14;14;14;0.55;19.39;78;88205
9480;2024-11-01T03:40:14;1;1;1;1;12;12;12;12;0.54;19.44;78;88204
9481;2024-11-01T03:41:15;1;1;1;1;12;12;12;12;0.54;19.52;77;88211
9482;2024-11-01T03:42:16;1;1;1;1;10;10;10;10;0.54;19.5;78;88207
9483;2024-11-01T03:43:18;1;1;1;1;11;11;11;11;0.55;19.25;78;88205
9484;2024-11-01T03:44:19;1;1;1;1;9;9;9;9;0.55;19.24;78;88204
9485;2024-11-01T03:45:21;2;2;2;2;13;13;13;13;0.55;19.38;79;88207
9486;2024-11-01T03:46:22;1;1;1;1;12;12;12;12;0.56;19.48;78;88207
9487;2024-11-01T03:47:24;1;1;1;1;10;10;10;10;0.55;19.53;77;88209
9488;2024-11-01T03:48:25;1;1;1;1;11;11;11;11;0.55;19.19;78;88207
9489;2024-11-01T03:49:27;1;1;1;1;11;11;11;11;0.55;18.94;80;88210
9490;2024-11-01T03:50:28;1;1;1;1;10;10;10;10;0.55;19.08;80;88210
9491;2024-11-01T03:51:30;1;1;1;1;10;10;10;10;0.55;19.16;78;88208
9492;2024-11-01T03:52:31;1;1;1;1;9;9;9;9;0.55;18.88;80;88220
9493;2024-11-01T03:53:33;1;1;1;1;11;11;11;11;0.54;19.07;79;88215
9494;2024-11-01T03:54:34;1;1;1;1;11;11;11;11;0.54;19.25;79;88210
9495;2024-11-01T03:55:36;1;1;1;1;9;9;9;9;0.54;19.16;79;88208
9496;2024-11-01T03:56:37;1;1;1;1;11;11;11;11;0.55;18.96;82;88204
9497;2024-11-01T03:57:38;1;1;1;1;9;9;9;9;0.56;19.13;80;88207
9498;2024-11-01T03:58:40;1;1;1;1;9;10;10;10;0.55;18.88;81;88207
9499;2024-11-01T03:59:41;1;1;1;1;10;10;10;10;0.56;19.01;82;88203
9500;2024-11-01T04:00:43;1;1;1;1;8;8;8;8;0.57;18.8;82;88200
9501;2024-11-01T04:01:44;1;1;1;1;10;10;10;10;0.56;18.55;82;88200
9502;2024-11-01T04:02:46;1;1;1;1;8;8;8;8;0.57;18.71;82;88199
9503;2024-11-01T04:03:47;1;1;1;1;6;6;6;6;0.57;18.64;81;88200
9504;2024-11-01T04:04:49;1;1;1;1;6;6;6;6;0.56;18.78;81;88198
9505;2024-11-01T04:05:50;1;1;1;1;8;8;8;8;0.57;18.89;81;88195
9506;2024-11-01T04:06:52;1;1;1;1;7;7;7;7;0.57;18.83;82;88194
9507;2024-11-01T04:07:53;1;1;1;1;8;8;8;8;0.59;18.94;82;88201
9508;2024-11-01T04:08:55;1;1;1;1;6;6;6;6;0.6;19.12;81;88202
9509;2024-11-01T04:09:56;1;1;1;1;6;6;6;6;0.6;19.22;80;88201
9510;2024-11-01T04:10:58;1;1;1;1;6;6;6;6;0.6;19.19;80;88196
9511;2024-11-01T04:11:59;1;1;1;1;8;8;8;8;0.6;19.3;80;88193
9512;2024-11-01T04:13:00;1;1;1;1;8;8;8;8;0.6;19.4;79;88196
9513;2024-11-01T04:14:02;1;1;1;1;9;9;9;9;0.6;19.5;79;88195
9514;2024-11-01T04:15:03;1;1;1;1;7;7;7;7;0.59;19.46;80;88197
9515;2024-11-01T04:16:05;1;1;1;1;8;8;8;8;0.58;19.09;80;88195
9516;2024-11-01T04:17:06;1;1;1;1;10;10;10;10;0.58;19.15;79;88199
9517;2024-11-01T04:18:08;1;1;1;1;8;8;8;8;0.58;19.33;78;88194
9518;2024-11-01T04:19:09;1;1;1;1;7;7;7;7;0.57;19.21;80;88199
9519;2024-11-01T04:20:11;1;1;1;1;7;7;7;7;0.56;18.98;83;88196
9520;2024-11-01T04:21:12;1;1;1;1;10;10;10;10;0.57;19.09;82;88193
9521;2024-11-01T04:22:14;1;1;1;1;8;9;9;9;0.57;19.23;81;88200
9522;2024-11-01T04:23:15;1;1;1;1;9;9;9;9;0.57;19.24;81;88198
9523;2024-11-01T04:24:17;1;1;1;1;8;8;8;8;0.56;19.35;80;88200
9524;2024-11-01T04:25:18;1;1;1;1;9;9;9;9;0.57;19.47;79;88201
9525;2024-11-01T04:26:20;1;1;1;1;9;9;9;9;0.58;19.51;80;88204
9526;2024-11-01T04:27:21;1;1;1;2;12;12;12;12;0.58;19.47;82;88203
9527;2024-11-01T04:28:22;1;2;2;2;12;12;12;12;0.58;19.4;79;88201
9528;2024-11-01T04:29:24;2;2;2;2;13;13;13;13;0.58;19.47;79;88193
9529;2024-11-01T04:30:25;1;1;2;2;12;12;12;12;0.58;19.48;79;88210
9530;2024-11-01T04:31:27;1;1;1;1;11;12;12;12;0.58;19.31;80;88198
9531;2024-11-01T04:32:28;1;2;2;2;12;12;12;12;0.58;19.35;79;88203
9532;2024-11-01T04:33:30;1;1;2;2;12;12;12;12;0.59;19.38;80;88206
9533;2024-11-01T04:34:31;1;2;2;2;12;12;12;12;0.58;19.36;80;88199
9534;2024-11-01T04:35:33;2;2;2;2;13;13;13;13;0.58;19.46;80;88202
9535;2024-11-01T04:36:34;1;1;1;1;10;10;10;10;0.59;19.34;80;88201
9536;2024-11-01T04:37:36;1;1;1;1;8;8;8;8;0.58;19.14;80;88198
9537;2024-11-01T04:38:37;1;1;1;1;8;8;8;8;0.59;19.24;80;88209
9538;2024-11-01T04:39:39;1;1;1;1;10;10;10;10;0.58;18.59;81;88211
9539;2024-11-01T04:40:40;1;1;1;1;7;7;7;7;0.58;18.73;80;88207
9540;2024-11-01T04:41:41;1;1;1;1;6;6;6;6;0.57;18.97;80;88208
9541;2024-11-01T04:42:43;1;1;1;1;8;8;8;8;0.56;18.98;78;88209
9542;2024-11-01T04:43:44;1;1;1;1;8;8;8;8;0.55;19.18;81;88211
9543;2024-11-01T04:44:46;1;1;1;1;7;7;7;7;0.55;19.01;80;88205
9544;2024-11-01T04:45:47;1;1;1;1;6;6;6;6;0.56;19.08;80;88208
9545;2024-11-01T04:46:49;1;1;1;1;6;6;6;6;0.55;18.94;80;88203
9546;2024-11-01T04:47:50;1;1;1;1;6;6;6;6;0.56;18.75;80;88204
9547;2024-11-01T04:48:52;1;1;1;1;7;7;7;7;0.57;19.0;79;88201
9548;2024-11-01T04:49:53;1;1;1;1;6;6;6;6;0.57;19.19;77;88207
9549;2024-11-01T04:50:55;1;1;1;1;6;6;6;6;0.57;19.29;78;88205
9550;2024-11-01T04:51:56;1;1;1;1;6;6;6;6;0.58;19.32;80;88207
9551;2024-11-01T04:52:58;1;1;1;1;6;6;6;6;0.57;19.29;80;88205
9552;2024-11-01T04:53:59;1;1;1;1;7;7;7;7;0.57;19.38;77;88207
9553;2024-11-01T04:55:01;0;1;1;1;4;4;4;4;0.57;19.49;77;88209
9554;2024-11-01T04:56:02;1;1;1;1;6;6;6;6;0.57;19.56;77;88211
9555;2024-11-01T04:57:04;1;1;1;1;6;6;6;6;0.57;18.87;79;88207
9556;2024-11-01T04:58:05;1;1;1;1;8;8;8;8;0.58;18.73;79;88204
9557;2024-11-01T04:59:06;1;1;1;1;6;6;6;6;0.58;19.05;79;88214
9558;2024-11-01T05:00:08;1;1;1;1;7;7;7;7;0.59;19.26;78;88204
9559;2024-11-01T05:01:09;1;1;1;1;6;7;7;7;0.6;18.75;80;88207
9560;2024-11-01T05:02:11;1;1;1;1;6;6;6;6;0.6;18.41;81;88216
9561;2024-11-01T05:03:12;1;1;1;1;6;6;6;6;0.6;18.8;80;88217
9562;2024-11-01T05:04:14;1;1;1;1;6;6;6;6;0.6;18.89;82;88218
9563;2024-11-01T05:05:15;1;1;1;1;5;5;5;5;0.6;18.93;79;88222
9564;2024-11-01T05:06:17;1;1;1;1;8;8;8;8;0.6;18.77;80;88212
9565;2024-11-01T05:07:18;1;1;1;1;9;9;9;9;0.59;18.89;80;88221
9566;2024-11-01T05:08:20;1;1;1;1;7;7;7;7;0.59;18.83;80;88221
9567;2024-11-01T05:09:21;1;1;1;1;5;5;5;5;0.59;18.76;78;88214
9568;2024-11-01T05:10:23;1;1;1;1;8;8;8;8;0.6;18.96;77;88218
9569;2024-11-01T05:11:24;1;1;1;1;9;9;9;9;0.6;19.06;79;88221
9570;2024-11-01T05:12:26;1;1;1;1;7;7;7;7;0.59;19.22;77;88216
9571;2024-11-01T05:13:27;1;1;1;1;8;8;8;8;0.6;19.28;78;88222
9572;2024-11-01T05:14:28;1;1;1;1;9;9;9;9;0.59;19.19;79;88223
9573;2024-11-01T05:15:30;1;1;1;1;7;7;7;7;0.59;18.94;79;88228
