counter;datetime;PM1;PM2_5;PM4;PM10;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure
9266;2024-11-01T00:01:00;13;13;13;13;111;112;112;112;0.53;22.99;78;88270
9267;2024-11-01T00:02:01;13;14;14;14;113;113;113;113;0.51;22.97;78;88278
9268;2024-11-01T00:03:02;11;12;12;12;96;97;97;97;0.51;22.97;78;88278
9269;2024-11-01T00:04:04;9;9;9;9;73;73;73;73;0.53;22.66;75;88264
9270;2024-11-01T00:05:05;5;5;5;5;44;44;44;44;0.53;21.91;76;88251
9271;2024-11-01T00:06:07;3;3;3;3;27;27;27;27;0.53;21.9;77;88241
9272;2024-11-01T00:07:08;3;3;3;3;25;25;25;25;0.55;22.23;77;88225
9273;2024-11-01T00:08:10;3;3;3;3;27;27;27;27;0.56;22.28;75;88216
9274;2024-11-01T00:09:11;3;3;3;3;23;23;23;23;0.57;22.33;74;88217
9275;2024-11-01T00:10:13;2;2;2;2;18;18;18;18;0.58;22.21;74;88239
9276;2024-11-01T00:11:14;2;2;2;2;14;14;14;14;0.58;21.78;75;88246
9277;2024-11-01T00:12:16;2;2;2;2;13;13;13;13;0.59;21.69;76;88250
9278;2024-11-01T00:13:17;2;2;2;2;14;14;14;14;0.58;21.63;77;88243
9279;2024-11-01T00:14:19;1;1;1;1;10;10;10;10;0.58;21.58;76;88245
9280;2024-11-01T00:15:20;2;2;2;2;16;16;16;16;0.57;21.59;76;88254
9281;2024-11-01T00:16:22;2;2;2;2;15;15;15;15;0.58;21.37;79;88250
9282;2024-11-01T00:17:23;2;2;2;2;15;15;15;15;0.59;21.31;78;88252
9283;2024-11-01T00:18:25;2;2;2;2;17;17;17;17;0.61;21.28;79;88256
9284;2024-11-01T00:19:26;2;2;2;2;14;14;14;14;0.62;21.49;79;88260
9285;2024-11-01T00:20:27;2;2;3;3;19;19;19;19;0.6;21.47;78;88275
9286;2024-11-01T00:21:29;3;3;3;3;22;22;22;22;0.6;21.38;78;88273
9287;2024-11-01T00:22:30;2;3;3;3;19;19;19;19;0.6;21.33;79;88280
9288;2024-11-01T00:23:32;2;3;3;3;20;20;20;20;0.6;21.42;78;88295
9289;2024-11-01T00:24:33;3;3;3;3;23;23;23;23;0.61;20.92;80;88295
9290;2024-11-01T00:25:35;3;3;4;4;26;26;26;26;0.61;20.75;81;88301
