counter;datetime;PM1;PM2_5;PM4;PM10;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure;meta
0;2024-12-11T08:23:52;24;26;27;28;206;208;208;208;0.59;26.05;38;88176;SPSA0013_724A79CC0297DA3B
1;2024-12-11T08:24:54;22;23;23;23;188;189;189;189;0.54;26.08;37;88172;
0;2024-12-11T08:27:44;22;24;24;24;190;191;191;191;0.59;26.27;37;88174;SPSA0013_724A79CC0297DA3B
1;2024-12-11T08:28:46;21;22;22;22;179;179;179;179;0.58;26.38;36;88178;
2;2024-12-11T08:29:48;22;22;22;22;184;184;184;184;0.57;26.43;37;88178;
3;2024-12-11T08:30:50;21;22;22;22;182;182;182;182;0.58;26.48;37;88168;
4;2024-12-11T08:31:53;21;21;21;21;175;176;176;176;0.54;26.53;36;88178;
5;2024-12-11T08:32:55;20;21;21;21;171;172;172;172;0.55;26.57;36;88178;
6;2024-12-11T08:33:57;20;20;20;20;168;169;169;169;0.56;26.62;36;88173;
7;2024-12-11T08:34:59;19;20;20;20;164;165;165;165;0.56;26.65;36;88176;
8;2024-12-11T08:36:01;19;20;20;20;163;163;163;163;0.54;26.69;36;88179;
9;2024-12-11T08:37:03;19;19;19;19;162;162;162;162;0.54;26.72;36;88188;
10;2024-12-11T08:38:06;20;20;20;20;166;167;167;167;0.55;26.76;36;88178;
11;2024-12-11T08:39:08;20;21;21;21;174;174;174;174;0.55;26.8;36;88184;
12;2024-12-11T08:40:10;20;21;21;21;173;174;174;174;0.56;26.85;36;88187;
13;2024-12-11T08:41:12;19;20;20;20;166;166;166;166;0.56;26.87;36;88187;
14;2024-12-11T08:42:14;20;20;20;20;167;167;167;167;0.56;26.9;35;88188;
15;2024-12-11T08:43:16;20;21;21;21;173;174;174;174;0.58;26.91;35;88192;
16;2024-12-11T08:44:18;20;20;20;20;166;167;167;167;0.55;26.96;35;88191;
17;2024-12-11T08:45:21;20;20;20;20;170;170;170;170;0.55;26.97;35;88194;
18;2024-12-11T08:46:23;21;22;22;22;180;181;181;181;0.57;27.0;35;88197;
19;2024-12-11T08:47:25;20;20;21;21;169;170;170;170;0.59;27.04;36;88189;
20;2024-12-11T08:48:27;20;21;21;21;174;174;174;174;0.58;27.07;35;88191;
21;2024-12-11T08:49:29;20;21;21;21;171;171;171;171;0.58;27.09;35;88186;
22;2024-12-11T08:50:31;20;21;21;21;171;172;172;172;0.56;27.12;35;88178;
23;2024-12-11T08:51:34;19;20;20;20;166;166;166;166;0.55;27.14;35;88187;
24;2024-12-11T08:52:36;19;20;20;20;164;165;165;165;0.54;27.16;35;88185;
25;2024-12-11T08:53:38;17;18;18;18;149;149;149;149;0.56;27.19;34;88183;
26;2024-12-11T08:54:40;19;19;19;19;160;160;160;160;0.55;27.19;35;88184;
27;2024-12-11T08:55:42;18;18;18;18;153;154;154;154;0.53;27.22;34;88182;
28;2024-12-11T08:56:44;18;18;18;18;151;151;151;151;0.54;27.26;34;88179;
29;2024-12-11T08:57:47;18;18;18;18;149;149;149;149;0.56;27.27;34;88188;
