counter;datetime;PM1;PM2_5;PM4;PM10;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure;meta
30;2024-12-11T08:58:49;18;19;19;19;155;156;156;156;0.59;27.28;34;88187;
31;2024-12-11T08:59:51;19;19;19;19;159;159;159;159;0.59;27.29;34;88175;
32;2024-12-11T09:00:53;18;19;19;19;154;155;155;155;0.57;27.32;34;88182;
33;2024-12-11T09:01:55;19;19;19;19;161;162;162;162;0.55;27.34;34;88183;
34;2024-12-11T09:02:57;19;19;20;20;159;160;160;160;0.57;27.37;34;88173;
35;2024-12-11T09:04:00;18;19;19;19;157;157;157;157;0.56;27.39;34;88175;
36;2024-12-11T09:05:02;19;19;19;19;157;158;158;158;0.58;27.4;33;88180;
37;2024-12-11T09:06:04;19;19;20;20;158;159;159;159;0.59;27.4;33;88177;
38;2024-12-11T09:07:06;19;20;20;20;158;159;159;159;0.58;27.4;33;88180;
39;2024-12-11T09:08:08;18;19;19;19;155;155;155;155;0.57;27.41;33;88178;
40;2024-12-11T09:09:10;17;18;19;19;147;147;148;148;0.6;27.4;33;88185;
41;2024-12-11T09:10:13;18;19;19;20;157;157;157;157;0.58;27.43;34;88184;
42;2024-12-11T09:11:15;18;19;19;19;151;152;152;152;0.58;27.5;32;88188;
43;2024-12-11T09:12:17;17;18;19;19;147;148;148;148;0.59;27.52;32;88180;
44;2024-12-11T09:13:19;16;17;18;18;137;138;138;138;0.59;27.47;32;88181;
45;2024-12-11T09:14:21;17;18;18;18;144;145;145;145;0.6;27.54;32;88186;
46;2024-12-11T09:15:23;17;17;17;18;141;142;142;142;0.58;27.58;32;88183;
47;2024-12-11T09:16:26;16;17;17;17;136;137;137;137;0.57;27.56;32;88183;
48;2024-12-11T09:17:28;15;15;16;16;128;129;129;129;0.57;27.58;32;88181;
49;2024-12-11T09:18:30;15;15;15;15;126;127;127;127;0.57;27.6;32;88184;
50;2024-12-11T09:19:32;15;16;16;16;130;130;130;130;0.54;27.65;32;88177;
51;2024-12-11T09:20:34;15;16;16;16;131;131;131;131;0.57;27.72;33;88180;
52;2024-12-11T09:21:36;15;15;15;15;129;129;129;129;0.53;27.74;32;88178;
53;2024-12-11T09:22:39;15;15;15;15;128;128;128;128;0.55;27.77;31;88182;
54;2024-12-11T09:23:41;14;15;15;15;122;122;122;122;0.53;27.74;31;88181;
55;2024-12-11T09:24:43;14;15;15;15;123;124;124;124;0.52;27.72;32;88183;
56;2024-12-11T09:25:45;15;15;15;15;124;124;124;124;0.54;27.51;32;88178;
57;2024-12-11T09:26:47;15;15;15;15;124;125;125;125;0.57;27.4;33;88182;
58;2024-12-11T09:27:49;15;15;15;15;127;127;127;127;0.56;27.32;32;88184;
59;2024-12-11T09:28:52;15;16;16;16;129;129;129;129;0.59;27.35;33;88183;
60;2024-12-11T09:29:54;16;16;16;16;133;134;134;134;0.59;27.43;32;88185;
61;2024-12-11T09:30:56;14;14;14;14;121;121;121;121;0.56;27.48;33;88185;
62;2024-12-11T09:31:58;14;14;14;14;119;120;120;120;0.55;27.38;33;88188;
63;2024-12-11T09:33:00;15;15;15;15;126;126;126;126;0.57;27.37;33;88181;
64;2024-12-11T09:34:02;14;14;14;14;119;119;119;119;0.54;27.37;33;88181;
65;2024-12-11T09:35:05;14;14;14;14;119;119;119;119;0.56;27.41;33;88182;
66;2024-12-11T09:36:07;14;14;14;14;120;120;120;120;0.55;27.42;32;88188;
67;2024-12-11T09:37:09;14;14;14;14;116;116;116;116;0.56;27.46;32;88191;
68;2024-12-11T09:38:11;14;14;14;14;118;118;118;118;0.56;27.51;32;88184;
69;2024-12-11T09:39:13;14;14;14;14;118;118;118;118;0.56;27.55;32;88190;
70;2024-12-11T09:40:15;13;14;14;14;114;114;114;114;0.55;27.54;32;88183;
71;2024-12-11T09:41:18;13;14;14;14;115;115;115;115;0.55;27.56;32;88188;
72;2024-12-11T09:42:20;13;14;14;14;114;114;114;114;0.53;27.58;32;88194;
73;2024-12-11T09:43:22;13;13;13;13;109;110;110;110;0.53;27.61;31;88190;
74;2024-12-11T09:44:24;13;13;13;13;111;111;111;111;0.54;27.64;32;88186;
75;2024-12-11T09:45:26;12;13;13;13;105;105;105;105;0.55;27.65;32;88190;
76;2024-12-11T09:46:28;13;13;13;13;112;112;112;112;0.56;27.67;32;88193;
77;2024-12-11T09:47:31;13;14;14;14;113;113;113;113;0.53;27.63;31;88188;
78;2024-12-11T09:48:33;13;13;13;13;111;111;111;111;0.54;27.57;32;88190;
79;2024-12-11T09:49:35;12;13;13;13;105;105;105;105;0.56;27.6;31;88194;
80;2024-12-11T09:50:37;13;13;13;13;109;109;109;109;0.55;27.64;31;88191;
81;2024-12-11T09:51:39;13;13;13;13;107;107;107;107;0.56;27.62;31;88189;
82;2024-12-11T09:52:41;13;13;13;13;110;111;111;111;0.57;27.65;31;88188;
83;2024-12-11T09:53:44;12;12;12;12;103;103;103;103;0.57;27.61;31;88188;
84;2024-12-11T09:54:46;11;12;12;12;97;98;98;98;0.56;27.73;31;88182;
85;2024-12-11T09:55:48;48;50;51;51;410;412;412;412;0.57;27.64;32;88170;
86;2024-12-11T09:56:50;72;82;89;91;600;610;611;611;0.67;27.59;32;88179;
87;2024-12-11T09:57:52;64;72;78;80;530;539;540;540;0.66;27.5;32;88182;
88;2024-12-11T09:58:54;58;65;71;72;479;486;487;488;0.65;27.5;32;88188;
89;2024-12-11T09:59:57;50;56;60;61;414;420;421;421;0.65;27.59;32;88179;
90;2024-12-11T10:00:59;46;51;54;55;382;387;388;388;0.63;27.63;32;88179;
91;2024-12-11T10:02:01;40;44;47;48;331;335;335;336;0.65;27.61;32;88179;
92;2024-12-11T10:03:03;39;44;47;48;328;332;333;333;0.63;27.57;32;88171;
93;2024-12-11T10:04:05;83;96;105;109;687;700;702;702;0.68;27.63;32;88179;
94;2024-12-11T10:05:07;132;160;180;187;1078;1106;1110;1110;0.69;27.63;32;88174;
95;2024-12-11T10:06:10;118;140;157;162;970;993;996;996;0.69;27.65;32;88168;
96;2024-12-11T10:07:12;105;122;134;138;868;885;887;887;0.67;27.7;32;88166;
97;2024-12-11T10:08:14;94;108;118;122;778;792;794;794;0.66;27.71;31;88160;
98;2024-12-11T10:09:16;83;95;103;106;690;702;704;704;0.65;27.73;31;88168;
99;2024-12-11T10:10:18;76;89;99;102;630;644;645;645;0.65;27.68;31;88159;
100;2024-12-11T10:11:20;71;83;91;94;589;601;602;602;0.69;27.77;31;88160;
101;2024-12-11T10:12:23;68;79;87;90;558;570;571;571;0.65;27.75;32;88157;
102;2024-12-11T10:13:25;62;71;77;79;519;528;529;529;0.66;27.73;32;88155;
103;2024-12-11T10:14:27;59;71;80;83;485;497;499;499;0.69;27.67;31;88153;
104;2024-12-11T10:15:29;54;63;68;70;450;459;460;460;0.64;27.63;31;88152;
105;2024-12-11T10:16:31;52;59;65;66;432;439;440;440;0.65;27.61;31;88160;
106;2024-12-11T10:17:33;46;51;54;55;382;387;387;388;0.64;27.65;31;88144;
107;2024-12-11T10:18:36;42;46;49;50;349;353;354;354;0.64;27.72;31;88145;
108;2024-12-11T10:19:38;42;48;52;53;352;357;358;358;0.65;27.76;31;88151;
109;2024-12-11T10:20:40;39;43;46;48;324;328;329;329;0.67;27.83;30;88148;
110;2024-12-11T10:21:42;34;38;41;42;279;284;284;284;0.68;27.84;30;88146;
111;2024-12-11T10:22:44;32;36;40;41;265;269;270;270;0.66;27.87;30;88147;
112;2024-12-11T10:23:46;31;35;37;38;263;266;267;267;0.63;27.87;30;88144;
113;2024-12-11T10:24:49;32;35;37;38;270;273;274;274;0.64;27.91;30;88137;
114;2024-12-11T10:25:51;28;32;34;35;236;240;240;240;0.64;27.87;28;88142;
115;2024-12-11T10:26:53;26;29;31;32;218;221;221;222;0.61;27.89;28;88145;
116;2024-12-11T10:27:55;25;28;29;30;212;214;214;214;0.61;27.85;29;88142;
117;2024-12-11T10:28:57;23;24;25;25;191;192;192;192;0.59;27.91;29;88134;
118;2024-12-11T10:29:59;21;23;24;24;180;181;181;181;0.59;27.96;28;88138;
119;2024-12-11T10:31:02;20;21;22;22;167;168;169;169;0.59;27.98;28;88133;
120;2024-12-11T10:32:04;20;22;23;24;168;170;170;170;0.62;28.03;28;88132;
121;2024-12-11T10:33:06;20;21;22;23;164;166;166;166;0.63;28.02;27;88141;
122;2024-12-11T10:34:08;18;20;21;21;148;150;150;150;0.64;28.06;27;88136;
123;2024-12-11T10:35:10;15;17;17;18;130;131;131;131;0.62;28.05;27;88131;
124;2024-12-11T10:36:12;15;16;16;17;126;127;127;127;0.61;28.07;27;88134;
125;2024-12-11T10:37:15;15;16;16;16;124;124;125;125;0.6;28.17;27;88135;
126;2024-12-11T10:38:17;14;15;16;16;121;122;122;122;0.62;28.19;26;88131;
127;2024-12-11T10:39:19;14;15;15;15;119;120;120;120;0.58;28.2;26;88127;
128;2024-12-11T10:40:21;14;14;15;15;117;118;118;118;0.58;28.26;26;88141;
129;2024-12-11T10:41:23;14;15;16;16;119;120;120;120;0.61;28.19;26;88138;
130;2024-12-11T10:42:25;12;13;13;14;105;106;106;106;0.6;28.19;27;88134;
131;2024-12-11T10:43:28;12;13;13;13;103;103;103;103;0.59;28.26;26;88136;
132;2024-12-11T10:44:30;11;12;12;12;92;93;93;93;0.63;28.27;26;88127;
133;2024-12-11T10:45:32;12;12;13;13;100;100;101;101;0.61;28.31;26;88130;
134;2024-12-11T10:46:34;11;12;12;13;94;95;95;95;0.65;28.36;26;88125;
135;2024-12-11T10:47:36;11;12;12;12;93;94;94;94;0.62;28.33;26;88124;
136;2024-12-11T10:48:38;10;10;11;11;84;84;84;84;0.6;28.32;26;88125;
137;2024-12-11T10:49:41;10;11;11;11;88;88;88;88;0.58;28.32;26;88123;
138;2024-12-11T10:50:43;10;10;10;10;86;86;86;86;0.55;28.3;26;88117;
139;2024-12-11T10:51:45;10;10;10;10;81;82;82;82;0.57;28.29;26;88119;
140;2024-12-11T10:52:47;9;10;10;10;79;80;80;80;0.6;28.3;26;88123;
141;2024-12-11T10:53:49;9;10;10;10;77;78;78;78;0.61;28.34;25;88117;
142;2024-12-11T10:54:51;9;10;10;10;79;79;79;79;0.61;28.33;25;88116;
143;2024-12-11T10:55:54;9;9;10;10;75;75;75;75;0.61;28.37;25;88119;
144;2024-12-11T10:56:56;9;9;9;9;74;74;74;74;0.6;28.41;25;88119;
145;2024-12-11T10:57:58;9;9;9;9;73;73;73;73;0.59;28.35;25;88111;
146;2024-12-11T10:59:00;9;9;9;9;73;74;74;74;0.59;28.47;25;88111;
147;2024-12-11T11:00:02;8;8;8;8;67;68;68;68;0.58;28.49;25;88109;
148;2024-12-11T11:01:04;8;8;9;9;69;70;70;70;0.58;28.51;25;88101;
149;2024-12-11T11:02:07;8;8;8;8;68;68;69;69;0.59;28.49;25;88103;
150;2024-12-11T11:03:09;8;9;9;9;70;70;70;70;0.61;28.46;26;88102;
151;2024-12-11T11:04:11;8;8;8;8;68;69;69;69;0.58;28.5;25;88110;
152;2024-12-11T11:05:13;7;8;8;8;63;64;64;64;0.55;28.52;25;88099;
153;2024-12-11T11:06:15;8;9;9;9;72;72;72;72;0.52;28.54;25;88104;
154;2024-12-11T11:07:17;7;8;8;8;64;64;64;64;0.55;28.61;25;88106;
155;2024-12-11T11:08:19;8;8;8;8;68;69;69;69;0.58;28.65;25;88101;
156;2024-12-11T11:09:22;7;7;7;7;61;62;62;62;0.55;28.67;24;88093;
157;2024-12-11T11:10:24;7;7;7;7;62;62;62;62;0.55;28.68;25;88103;
158;2024-12-11T11:11:26;7;7;7;7;61;62;62;62;0.57;28.63;25;88089;
159;2024-12-11T11:12:28;7;8;8;8;63;64;64;64;0.57;28.69;25;88090;
160;2024-12-11T11:13:30;7;7;7;7;58;58;58;58;0.59;28.7;25;88094;
161;2024-12-11T11:14:32;7;7;7;7;58;58;58;58;0.61;28.71;25;88090;
162;2024-12-11T11:15:35;7;7;7;7;57;58;58;58;0.58;28.68;25;88089;
163;2024-12-11T11:16:37;7;7;7;7;57;57;57;57;0.55;28.65;25;88087;
164;2024-12-11T11:17:39;7;7;7;7;60;60;60;60;0.55;28.68;25;88086;
165;2024-12-11T11:18:41;7;7;7;7;58;58;58;58;0.57;28.66;25;88088;
166;2024-12-11T11:19:43;7;7;7;7;56;56;56;56;0.56;28.63;25;88084;
167;2024-12-11T11:20:45;7;7;7;7;57;57;57;57;0.57;28.72;25;88086;
168;2024-12-11T11:21:48;6;6;6;6;53;54;54;54;0.55;28.7;25;88077;
169;2024-12-11T11:22:50;7;7;7;7;58;58;58;58;0.57;28.71;25;88079;
170;2024-12-11T11:23:52;7;7;7;7;59;59;59;59;0.58;28.73;25;88082;
171;2024-12-11T11:24:54;7;7;7;7;59;59;59;59;0.56;28.74;25;88078;
172;2024-12-11T11:25:56;7;7;7;7;57;57;57;57;0.55;28.75;25;88079;
173;2024-12-11T11:26:58;6;6;6;6;54;54;54;54;0.56;28.76;25;88078;
174;2024-12-11T11:28:00;7;7;7;7;56;56;56;56;0.52;28.83;25;88074;
175;2024-12-11T11:29:03;7;7;7;7;59;59;59;59;0.53;28.89;25;88077;
176;2024-12-11T11:30:05;6;7;7;7;55;55;55;55;0.54;28.95;24;88072;
177;2024-12-11T11:31:07;6;7;7;7;55;55;55;55;0.53;29.0;24;88065;
178;2024-12-11T11:32:09;6;6;6;6;54;54;54;54;0.54;28.97;25;88075;
179;2024-12-11T11:33:11;7;7;7;7;57;57;57;57;0.57;28.98;24;88067;
180;2024-12-11T11:34:13;6;6;6;6;53;53;53;53;0.56;28.92;24;88070;
181;2024-12-11T11:35:16;7;7;7;7;56;56;56;56;0.54;28.92;25;88057;
182;2024-12-11T11:36:18;6;6;6;6;53;53;53;53;0.53;28.98;25;88056;
183;2024-12-11T11:37:20;6;7;7;7;55;55;55;55;0.53;29.03;25;88052;
184;2024-12-11T11:38:22;6;6;6;6;54;54;54;54;0.52;29.06;25;88052;
185;2024-12-11T11:39:24;7;7;7;7;57;57;57;57;0.55;29.0;25;88053;
186;2024-12-11T11:40:26;6;6;6;6;52;52;52;52;0.55;29.0;25;88048;
187;2024-12-11T11:41:29;7;7;7;7;56;56;56;56;0.54;29.01;25;88050;
188;2024-12-11T11:42:31;6;7;7;7;55;55;55;55;0.55;29.05;25;88033;
189;2024-12-11T11:43:33;6;6;6;6;54;54;54;54;0.54;29.03;25;88033;
190;2024-12-11T11:44:35;6;6;6;6;52;52;52;52;0.58;29.02;25;88035;
191;2024-12-11T11:45:37;7;7;7;7;57;57;57;57;0.59;28.96;24;88046;
192;2024-12-11T11:46:39;7;7;7;7;56;56;56;56;0.58;29.04;24;88038;
193;2024-12-11T11:47:42;6;7;7;7;55;55;55;55;0.59;29.01;25;88031;
194;2024-12-11T11:48:44;6;6;6;6;53;53;53;53;0.56;29.06;25;88032;
195;2024-12-11T11:49:46;7;7;7;7;56;57;57;57;0.56;29.03;24;88033;
196;2024-12-11T11:50:48;6;7;7;7;54;54;54;54;0.58;29.05;24;88022;
197;2024-12-11T11:51:50;6;6;6;6;53;53;53;53;0.56;29.12;25;88027;
198;2024-12-11T11:52:52;6;6;6;6;51;51;51;51;0.55;29.2;24;88016;
199;2024-12-11T11:53:54;6;7;7;7;55;55;55;55;0.55;29.23;24;88010;
200;2024-12-11T11:54:57;7;7;7;7;56;56;56;56;0.53;29.27;24;88012;
201;2024-12-11T11:55:59;6;6;6;6;50;50;50;50;0.54;29.32;24;88011;
202;2024-12-11T11:57:01;6;6;6;6;53;53;53;53;0.53;29.34;24;88020;
203;2024-12-11T11:58:03;7;7;7;7;56;56;56;56;0.54;29.32;24;88011;
204;2024-12-11T11:59:05;6;6;6;6;53;53;53;53;0.55;29.36;24;88009;
205;2024-12-11T12:00:07;6;6;6;6;52;52;52;52;0.53;29.35;24;88002;
206;2024-12-11T12:01:10;6;6;6;6;50;51;51;51;0.53;29.39;23;88010;
207;2024-12-11T12:02:12;6;6;6;6;51;51;51;51;0.54;29.39;23;88004;
208;2024-12-11T12:03:14;6;7;7;7;54;54;54;54;0.53;29.38;23;87998;
209;2024-12-11T12:04:16;7;7;7;7;59;59;59;59;0.52;29.45;23;88005;
210;2024-12-11T12:05:18;6;6;6;6;51;51;51;51;0.51;29.41;23;88008;
211;2024-12-11T12:06:20;6;6;6;6;53;53;53;53;0.52;29.45;23;87996;
212;2024-12-11T12:07:23;6;6;6;6;48;49;49;49;0.54;29.52;23;87993;
213;2024-12-11T12:08:25;7;7;7;7;60;60;60;60;0.54;29.49;23;87985;
214;2024-12-11T12:09:27;6;6;6;6;52;52;52;52;0.52;29.6;23;87990;
215;2024-12-11T12:10:29;6;6;6;6;50;50;50;50;0.53;29.59;23;87992;
216;2024-12-11T12:11:31;6;6;6;6;50;50;50;50;0.53;29.62;23;87987;
217;2024-12-11T12:12:33;6;6;6;6;52;52;52;52;0.53;29.61;23;87989;
218;2024-12-11T12:13:35;6;6;6;6;52;52;52;52;0.53;29.63;23;87983;
219;2024-12-11T12:14:38;6;6;6;6;51;52;52;52;0.54;29.58;23;87981;
220;2024-12-11T12:15:40;6;6;6;6;51;52;52;52;0.56;29.62;23;87976;
221;2024-12-11T12:16:42;6;6;6;6;53;53;53;53;0.55;29.65;23;87969;
222;2024-12-11T12:17:44;6;6;6;6;52;52;52;52;0.55;29.71;23;87973;
223;2024-12-11T12:18:46;6;7;7;7;54;54;54;54;0.56;29.73;23;87969;
224;2024-12-11T12:19:48;6;7;7;7;55;55;55;55;0.52;29.74;23;87974;
225;2024-12-11T12:20:51;7;7;7;7;58;58;58;58;0.5;29.68;23;87971;
226;2024-12-11T12:21:53;7;8;8;8;64;64;64;64;0.5;29.73;22;87962;
227;2024-12-11T12:22:55;7;7;7;7;62;62;62;62;0.51;29.78;22;87960;
228;2024-12-11T12:23:57;7;7;7;7;58;58;58;58;0.53;29.74;23;87955;
229;2024-12-11T12:24:59;7;7;7;7;57;57;57;57;0.55;29.78;22;87958;
230;2024-12-11T12:26:01;7;7;7;7;56;56;56;56;0.54;29.78;22;87950;
231;2024-12-11T12:27:04;6;7;7;7;55;55;55;55;0.54;29.78;22;87944;
232;2024-12-11T12:28:06;7;7;7;7;57;57;57;57;0.54;29.72;22;87947;
233;2024-12-11T12:29:08;7;7;7;7;58;58;58;58;0.54;29.77;22;87948;
234;2024-12-11T12:30:10;7;7;7;7;60;61;61;61;0.54;29.79;22;87946;
235;2024-12-11T12:31:12;7;7;7;7;57;57;57;57;0.53;29.82;22;87947;
236;2024-12-11T12:32:14;6;6;6;6;53;53;53;53;0.53;29.78;22;87944;
237;2024-12-11T12:33:16;6;6;6;6;53;53;53;53;0.52;29.71;22;87943;
238;2024-12-11T12:34:19;6;6;6;6;54;54;54;54;0.53;29.73;22;87940;
239;2024-12-11T12:35:21;7;7;7;7;59;59;59;59;0.53;29.82;22;87938;
240;2024-12-11T12:36:23;6;6;6;6;54;54;54;54;0.54;29.86;22;87933;
241;2024-12-11T12:37:25;7;7;7;7;59;59;59;59;0.56;29.88;22;87930;
242;2024-12-11T12:38:27;7;7;7;7;56;56;56;56;0.53;29.95;22;87929;
243;2024-12-11T12:39:29;7;7;7;7;57;57;57;57;0.54;29.91;22;87929;
244;2024-12-11T12:40:32;6;6;6;6;52;52;52;52;0.54;29.87;22;87928;
245;2024-12-11T12:41:34;6;6;6;6;54;54;54;54;0.55;29.97;23;87932;
246;2024-12-11T12:42:36;7;7;7;7;55;56;56;56;0.56;29.95;21;87932;
247;2024-12-11T12:43:38;6;6;6;6;52;52;52;52;0.54;29.92;22;87919;
248;2024-12-11T12:44:40;6;6;6;6;52;52;52;52;0.53;29.92;22;87924;
249;2024-12-11T12:45:42;6;6;6;6;54;54;54;54;0.54;29.96;22;87925;
250;2024-12-11T12:46:45;6;6;6;6;53;53;53;53;0.55;29.97;22;87921;
251;2024-12-11T12:47:47;6;6;6;6;53;53;53;53;0.53;29.92;22;87919;
252;2024-12-11T12:48:49;6;6;6;6;52;52;52;52;0.51;30.0;22;87915;
253;2024-12-11T12:49:51;6;6;6;6;54;54;54;54;0.52;30.06;22;87917;
254;2024-12-11T12:50:53;7;7;7;7;56;57;57;57;0.53;30.07;22;87918;
255;2024-12-11T12:51:55;6;7;7;7;55;55;55;55;0.53;30.08;22;87909;
256;2024-12-11T12:52:58;6;6;6;6;53;53;53;53;0.57;30.05;22;87914;
257;2024-12-11T12:54:00;7;7;7;7;59;59;59;59;0.56;30.05;23;87910;
258;2024-12-11T12:55:02;7;7;7;7;57;57;57;57;0.6;30.11;22;87907;
259;2024-12-11T12:56:04;6;6;6;6;49;50;50;50;0.58;30.08;22;87903;
260;2024-12-11T12:57:06;6;6;6;6;52;52;52;52;0.57;30.06;22;87901;
261;2024-12-11T12:58:08;6;7;7;7;55;55;55;55;0.56;30.07;22;87899;
262;2024-12-11T12:59:11;7;7;7;7;56;56;56;56;0.52;30.13;22;87905;
263;2024-12-11T13:00:13;7;7;7;7;57;57;57;57;0.51;30.1;22;87895;
264;2024-12-11T13:01:15;7;7;7;7;57;57;57;57;0.53;30.13;22;87899;
265;2024-12-11T13:02:17;7;8;8;8;63;63;63;63;0.53;30.07;22;87902;
266;2024-12-11T13:03:19;6;7;7;7;55;55;55;55;0.53;30.07;22;87897;
267;2024-12-11T13:04:21;6;6;6;6;52;53;53;53;0.54;30.03;22;87896;
268;2024-12-11T13:05:23;6;6;6;6;50;50;50;50;0.55;30.14;22;87893;
269;2024-12-11T13:06:26;6;6;6;6;53;53;53;53;0.55;30.11;22;87891;
270;2024-12-11T13:07:28;7;7;7;7;56;56;56;56;0.52;30.15;22;87892;
271;2024-12-11T13:08:30;6;6;6;6;53;53;53;53;0.52;30.2;22;87890;
272;2024-12-11T13:09:32;6;6;6;6;53;54;54;54;0.53;30.23;22;87886;
273;2024-12-11T13:10:34;6;6;6;6;54;54;54;54;0.53;30.25;22;87894;
274;2024-12-11T13:11:36;6;7;7;7;55;55;55;55;0.52;30.38;22;87880;
275;2024-12-11T13:12:39;6;6;6;6;52;52;52;52;0.52;30.43;22;87881;
276;2024-12-11T13:13:41;6;7;7;7;55;55;55;55;0.51;30.49;22;87873;
277;2024-12-11T13:14:43;6;7;7;7;54;55;55;55;0.51;30.49;22;87873;
278;2024-12-11T13:15:45;6;6;6;6;53;53;53;53;0.54;30.54;22;87880;
279;2024-12-11T13:16:47;6;6;6;6;52;52;52;52;0.55;30.56;22;87869;
280;2024-12-11T13:17:49;6;6;6;6;52;53;53;53;0.56;30.58;22;87868;
281;2024-12-11T13:18:52;7;7;7;7;56;57;57;57;0.58;30.6;22;87872;
282;2024-12-11T13:19:54;7;7;7;7;58;58;58;58;0.56;30.62;21;87864;
283;2024-12-11T13:20:56;6;6;6;6;53;54;54;54;0.54;30.65;22;87868;
284;2024-12-11T13:21:58;7;7;7;7;56;56;56;56;0.52;30.66;22;87861;
285;2024-12-11T13:23:00;6;6;6;6;51;52;52;52;0.51;30.68;22;87861;
286;2024-12-11T13:24:02;6;6;6;6;52;52;52;52;0.53;30.68;22;87856;
287;2024-12-11T13:25:05;6;6;6;6;51;52;52;52;0.54;30.71;21;87854;
288;2024-12-11T13:26:07;6;6;6;6;53;53;53;53;0.56;30.72;22;87859;
289;2024-12-11T13:27:09;6;6;6;6;53;53;53;53;0.55;30.72;22;87853;
290;2024-12-11T13:28:11;6;6;6;6;52;52;52;52;0.55;30.76;22;87852;
291;2024-12-11T13:29:13;6;6;6;6;51;51;51;51;0.56;30.76;22;87850;
292;2024-12-11T13:30:15;6;6;6;6;49;49;49;49;0.55;30.77;22;87849;
293;2024-12-11T13:31:17;6;6;6;6;50;50;50;50;0.56;30.79;22;87851;
294;2024-12-11T13:32:20;6;6;6;6;50;50;50;50;0.58;30.79;22;87843;
295;2024-12-11T13:33:22;6;7;7;7;55;55;55;55;0.58;30.81;22;87846;
296;2024-12-11T13:34:24;6;6;6;6;51;51;51;51;0.53;30.83;22;87843;
297;2024-12-11T13:35:26;6;6;6;6;49;49;49;49;0.53;30.84;22;87836;
298;2024-12-11T13:36:28;6;6;6;6;53;53;53;53;0.53;30.83;23;87838;
299;2024-12-11T13:37:30;6;6;6;6;51;51;51;51;0.51;30.82;22;87840;
300;2024-12-11T13:38:33;6;6;6;6;51;51;51;51;0.52;30.85;22;87835;
301;2024-12-11T13:39:35;6;7;7;7;55;55;55;55;0.52;30.89;22;87841;
302;2024-12-11T13:40:37;6;6;6;6;52;52;52;52;0.52;30.88;22;87829;
303;2024-12-11T13:41:39;6;6;6;6;49;49;49;49;0.54;30.91;23;87827;
304;2024-12-11T13:42:41;6;6;6;6;49;49;49;49;0.56;30.92;23;87824;
